portfolioRefCode;currencyCode;accountNo;cashAccountName;refCode;iban
nt168;TL;743244;N168;N-669;TR00000000005567398
nt169;TL;743245;N169;N-670;TR00000000005567399
nt170;TL;743246;N170;N-671;TR00000000005567400
nt171;TL;743247;N171;N-672;TR00000000005567401
nt172;TL;743248;N172;N-673;TR00000000005567402
nt173;TL;743249;N173;N-674;TR00000000005567403
nt174;TL;743250;N174;N-675;TR00000000005567404
nt175;TL;743251;N175;N-676;TR00000000005567405
nt176;TL;743252;N176;N-677;TR00000000005567406
nt177;TL;743253;N177;N-678;TR00000000005567407
nt178;TL;743254;N178;N-679;TR00000000005567408
nt179;TL;743255;N179;N-680;TR00000000005567409
nt180;TL;743256;N180;N-681;TR00000000005567410
nt181;TL;743257;N181;N-682;TR00000000005567411
nt182;TL;743258;N182;N-683;TR00000000005567412
nt183;TL;743259;N183;N-684;TR00000000005567413
nt184;TL;743260;N184;N-685;TR00000000005567414
nt185;TL;743261;N185;N-686;TR00000000005567415
nt186;TL;743262;N186;N-687;TR00000000005567416
nt187;TL;743263;N187;N-688;TR00000000005567417
nt188;TL;743264;N188;N-689;TR00000000005567418
nt189;TL;743265;N189;N-690;TR00000000005567419
nt190;TL;743266;N190;N-691;TR00000000005567420
nt191;TL;743267;N191;N-692;TR00000000005567421
nt192;TL;743268;N192;N-693;TR00000000005567422
nt193;TL;743269;N193;N-694;TR00000000005567423
nt194;TL;743270;N194;N-695;TR00000000005567424
nt195;TL;743271;N195;N-696;TR00000000005567425
nt196;TL;743272;N196;N-697;TR00000000005567426
nt197;TL;743273;N197;N-698;TR00000000005567427
nt198;TL;743274;N198;N-699;TR00000000005567428
nt199;TL;743275;N199;N-700;TR00000000005567429
nt200;TL;743276;N200;N-701;TR00000000005567430
nt201;TL;743277;N201;N-702;TR00000000005567431
nt202;TL;743278;N202;N-703;TR00000000005567432
nt203;TL;743279;N203;N-704;TR00000000005567433
nt204;TL;743280;N204;N-705;TR00000000005567434
nt205;TL;743281;N205;N-706;TR00000000005567435
nt206;TL;743282;N206;N-707;TR00000000005567436
nt207;TL;743283;N207;N-708;TR00000000005567437
nt208;TL;743284;N208;N-709;TR00000000005567438
nt209;TL;743285;N209;N-710;TR00000000005567439
nt210;TL;743286;N210;N-711;TR00000000005567440
nt211;TL;743287;N211;N-712;TR00000000005567441
nt212;TL;743288;N212;N-713;TR00000000005567442
nt213;TL;743289;N213;N-714;TR00000000005567443
nt214;TL;743290;N214;N-715;TR00000000005567444
nt215;TL;743291;N215;N-716;TR00000000005567445
nt216;TL;743292;N216;N-717;TR00000000005567446
nt217;TL;743293;N217;N-718;TR00000000005567447
nt218;TL;743294;N218;N-719;TR00000000005567448
nt219;TL;743295;N219;N-720;TR00000000005567449
nt220;TL;743296;N220;N-721;TR00000000005567450
nt221;TL;743297;N221;N-722;TR00000000005567451
nt222;TL;743298;N222;N-723;TR00000000005567452
nt223;TL;743299;N223;N-724;TR00000000005567453
nt224;TL;743300;N224;N-725;TR00000000005567454
nt225;TL;743301;N225;N-726;TR00000000005567455
nt226;TL;743302;N226;N-727;TR00000000005567456
nt227;TL;743303;N227;N-728;TR00000000005567457
nt228;TL;743304;N228;N-729;TR00000000005567458
nt229;TL;743305;N229;N-730;TR00000000005567459
nt230;TL;743306;N230;N-731;TR00000000005567460
nt231;TL;743307;N231;N-732;TR00000000005567461
nt232;TL;743308;N232;N-733;TR00000000005567462
nt233;TL;743309;N233;N-734;TR00000000005567463
nt234;TL;743310;N234;N-735;TR00000000005567464
nt235;TL;743311;N235;N-736;TR00000000005567465
nt236;TL;743312;N236;N-737;TR00000000005567466
nt237;TL;743313;N237;N-738;TR00000000005567467
nt238;TL;743314;N238;N-739;TR00000000005567468
nt239;TL;743315;N239;N-740;TR00000000005567469
nt240;TL;743316;N240;N-741;TR00000000005567470
nt241;TL;743317;N241;N-742;TR00000000005567471
nt242;TL;743318;N242;N-743;TR00000000005567472
nt243;TL;743319;N243;N-744;TR00000000005567473
nt244;TL;743320;N244;N-745;TR00000000005567474
nt245;TL;743321;N245;N-746;TR00000000005567475
nt246;TL;743322;N246;N-747;TR00000000005567476
nt247;TL;743323;N247;N-748;TR00000000005567477
nt248;TL;743324;N248;N-749;TR00000000005567478
nt249;TL;743325;N249;N-750;TR00000000005567479
nt250;TL;743326;N250;N-751;TR00000000005567480
nt251;TL;743327;N251;N-752;TR00000000005567481
nt252;TL;743328;N252;N-753;TR00000000005567482
nt253;TL;743329;N253;N-754;TR00000000005567483
nt254;TL;743330;N254;N-755;TR00000000005567484
nt255;TL;743331;N255;N-756;TR00000000005567485
nt256;TL;743332;N256;N-757;TR00000000005567486
nt257;TL;743333;N257;N-758;TR00000000005567487
nt258;TL;743334;N258;N-759;TR00000000005567488
nt259;TL;743335;N259;N-760;TR00000000005567489
nt260;TL;743336;N260;N-761;TR00000000005567490
nt261;TL;743337;N261;N-762;TR00000000005567491
nt262;TL;743338;N262;N-763;TR00000000005567492
nt263;TL;743339;N263;N-764;TR00000000005567493
nt264;TL;743340;N264;N-765;TR00000000005567494
nt265;TL;743341;N265;N-766;TR00000000005567495
nt266;TL;743342;N266;N-767;TR00000000005567496
nt267;TL;743343;N267;N-768;TR00000000005567497
nt268;TL;743344;N268;N-769;TR00000000005567498
nt269;TL;743345;N269;N-770;TR00000000005567499
nt270;TL;743346;N270;N-771;TR00000000005567500
nt271;TL;743347;N271;N-772;TR00000000005567501
nt272;TL;743348;N272;N-773;TR00000000005567502
nt273;TL;743349;N273;N-774;TR00000000005567503
nt274;TL;743350;N274;N-775;TR00000000005567504
nt275;TL;743351;N275;N-776;TR00000000005567505
nt276;TL;743352;N276;N-777;TR00000000005567506
nt277;TL;743353;N277;N-778;TR00000000005567507
nt278;TL;743354;N278;N-779;TR00000000005567508
nt279;TL;743355;N279;N-780;TR00000000005567509
nt280;TL;743356;N280;N-781;TR00000000005567510
nt281;TL;743357;N281;N-782;TR00000000005567511
nt282;TL;743358;N282;N-783;TR00000000005567512
nt283;TL;743359;N283;N-784;TR00000000005567513
nt284;TL;743360;N284;N-785;TR00000000005567514
nt285;TL;743361;N285;N-786;TR00000000005567515
nt286;TL;743362;N286;N-787;TR00000000005567516
nt287;TL;743363;N287;N-788;TR00000000005567517
nt288;TL;743364;N288;N-789;TR00000000005567518
nt289;TL;743365;N289;N-790;TR00000000005567519
nt290;TL;743366;N290;N-791;TR00000000005567520
nt291;TL;743367;N291;N-792;TR00000000005567521
nt292;TL;743368;N292;N-793;TR00000000005567522
nt293;TL;743369;N293;N-794;TR00000000005567523
nt294;TL;743370;N294;N-795;TR00000000005567524
nt295;TL;743371;N295;N-796;TR00000000005567525
nt296;TL;743372;N296;N-797;TR00000000005567526
nt297;TL;743373;N297;N-798;TR00000000005567527
nt298;TL;743374;N298;N-799;TR00000000005567528
nt299;TL;743375;N299;N-800;TR00000000005567529
nt300;TL;743376;N300;N-801;TR00000000005567530
nt301;TL;743377;N301;N-802;TR00000000005567531
nt302;TL;743378;N302;N-803;TR00000000005567532
nt303;TL;743379;N303;N-804;TR00000000005567533
nt304;TL;743380;N304;N-805;TR00000000005567534
nt305;TL;743381;N305;N-806;TR00000000005567535
nt306;TL;743382;N306;N-807;TR00000000005567536
nt307;TL;743383;N307;N-808;TR00000000005567537
nt308;TL;743384;N308;N-809;TR00000000005567538
nt309;TL;743385;N309;N-810;TR00000000005567539
nt310;TL;743386;N310;N-811;TR00000000005567540
nt311;TL;743387;N311;N-812;TR00000000005567541
nt312;TL;743388;N312;N-813;TR00000000005567542
nt313;TL;743389;N313;N-814;TR00000000005567543
nt314;TL;743390;N314;N-815;TR00000000005567544
nt315;TL;743391;N315;N-816;TR00000000005567545
nt316;TL;743392;N316;N-817;TR00000000005567546
nt317;TL;743393;N317;N-818;TR00000000005567547
nt318;TL;743394;N318;N-819;TR00000000005567548
nt319;TL;743395;N319;N-820;TR00000000005567549
nt320;TL;743396;N320;N-821;TR00000000005567550
nt321;TL;743397;N321;N-822;TR00000000005567551
nt322;TL;743398;N322;N-823;TR00000000005567552
nt323;TL;743399;N323;N-824;TR00000000005567553
nt324;TL;743400;N324;N-825;TR00000000005567554
nt325;TL;743401;N325;N-826;TR00000000005567555
nt326;TL;743402;N326;N-827;TR00000000005567556
nt327;TL;743403;N327;N-828;TR00000000005567557
nt328;TL;743404;N328;N-829;TR00000000005567558
nt329;TL;743405;N329;N-830;TR00000000005567559
nt330;TL;743406;N330;N-831;TR00000000005567560
nt331;TL;743407;N331;N-832;TR00000000005567561
nt332;TL;743408;N332;N-833;TR00000000005567562
nt333;TL;743409;N333;N-834;TR00000000005567563
nt334;TL;743410;N334;N-835;TR00000000005567564
nt335;TL;743411;N335;N-836;TR00000000005567565
nt336;TL;743412;N336;N-837;TR00000000005567566
nt337;TL;743413;N337;N-838;TR00000000005567567
nt338;TL;743414;N338;N-839;TR00000000005567568
nt339;TL;743415;N339;N-840;TR00000000005567569
nt340;TL;743416;N340;N-841;TR00000000005567570
nt341;TL;743417;N341;N-842;TR00000000005567571
nt342;TL;743418;N342;N-843;TR00000000005567572
nt343;TL;743419;N343;N-844;TR00000000005567573
nt344;TL;743420;N344;N-845;TR00000000005567574
nt345;TL;743421;N345;N-846;TR00000000005567575
nt346;TL;743422;N346;N-847;TR00000000005567576
nt347;TL;743423;N347;N-848;TR00000000005567577
nt348;TL;743424;N348;N-849;TR00000000005567578
nt349;TL;743425;N349;N-850;TR00000000005567579
nt350;TL;743426;N350;N-851;TR00000000005567580
nt351;TL;743427;N351;N-852;TR00000000005567581
nt352;TL;743428;N352;N-853;TR00000000005567582
nt353;TL;743429;N353;N-854;TR00000000005567583
nt354;TL;743430;N354;N-855;TR00000000005567584
nt355;TL;743431;N355;N-856;TR00000000005567585
nt356;TL;743432;N356;N-857;TR00000000005567586
nt357;TL;743433;N357;N-858;TR00000000005567587
nt358;TL;743434;N358;N-859;TR00000000005567588
nt359;TL;743435;N359;N-860;TR00000000005567589
nt360;TL;743436;N360;N-861;TR00000000005567590
nt361;TL;743437;N361;N-862;TR00000000005567591
nt362;TL;743438;N362;N-863;TR00000000005567592
nt363;TL;743439;N363;N-864;TR00000000005567593
nt364;TL;743440;N364;N-865;TR00000000005567594
nt365;TL;743441;N365;N-866;TR00000000005567595
nt366;TL;743442;N366;N-867;TR00000000005567596
nt367;TL;743443;N367;N-868;TR00000000005567597
nt368;TL;743444;N368;N-869;TR00000000005567598
nt369;TL;743445;N369;N-870;TR00000000005567599
nt370;TL;743446;N370;N-871;TR00000000005567600
nt371;TL;743447;N371;N-872;TR00000000005567601
nt372;TL;743448;N372;N-873;TR00000000005567602
nt373;TL;743449;N373;N-874;TR00000000005567603
nt374;TL;743450;N374;N-875;TR00000000005567604
nt375;TL;743451;N375;N-876;TR00000000005567605
nt376;TL;743452;N376;N-877;TR00000000005567606
nt377;TL;743453;N377;N-878;TR00000000005567607
nt378;TL;743454;N378;N-879;TR00000000005567608
nt379;TL;743455;N379;N-880;TR00000000005567609
nt380;TL;743456;N380;N-881;TR00000000005567610
nt381;TL;743457;N381;N-882;TR00000000005567611
nt382;TL;743458;N382;N-883;TR00000000005567612
nt383;TL;743459;N383;N-884;TR00000000005567613
nt384;TL;743460;N384;N-885;TR00000000005567614
nt385;TL;743461;N385;N-886;TR00000000005567615
nt386;TL;743462;N386;N-887;TR00000000005567616
nt387;TL;743463;N387;N-888;TR00000000005567617
nt388;TL;743464;N388;N-889;TR00000000005567618
nt389;TL;743465;N389;N-890;TR00000000005567619
nt390;TL;743466;N390;N-891;TR00000000005567620
nt391;TL;743467;N391;N-892;TR00000000005567621
nt392;TL;743468;N392;N-893;TR00000000005567622
nt393;TL;743469;N393;N-894;TR00000000005567623
nt394;TL;743470;N394;N-895;TR00000000005567624
nt395;TL;743471;N395;N-896;TR00000000005567625
nt396;TL;743472;N396;N-897;TR00000000005567626
nt397;TL;743473;N397;N-898;TR00000000005567627
nt398;TL;743474;N398;N-899;TR00000000005567628
nt399;TL;743475;N399;N-900;TR00000000005567629
nt400;TL;743476;N400;N-901;TR00000000005567630
nt401;TL;743477;N401;N-902;TR00000000005567631
nt402;TL;743478;N402;N-903;TR00000000005567632
nt403;TL;743479;N403;N-904;TR00000000005567633
nt404;TL;743480;N404;N-905;TR00000000005567634
nt405;TL;743481;N405;N-906;TR00000000005567635
nt406;TL;743482;N406;N-907;TR00000000005567636
nt407;TL;743483;N407;N-908;TR00000000005567637
nt408;TL;743484;N408;N-909;TR00000000005567638
nt409;TL;743485;N409;N-910;TR00000000005567639
nt410;TL;743486;N410;N-911;TR00000000005567640
nt411;TL;743487;N411;N-912;TR00000000005567641
nt412;TL;743488;N412;N-913;TR00000000005567642
nt413;TL;743489;N413;N-914;TR00000000005567643
nt414;TL;743490;N414;N-915;TR00000000005567644
nt415;TL;743491;N415;N-916;TR00000000005567645
nt416;TL;743492;N416;N-917;TR00000000005567646
nt417;TL;743493;N417;N-918;TR00000000005567647
nt418;TL;743494;N418;N-919;TR00000000005567648
nt419;TL;743495;N419;N-920;TR00000000005567649
nt420;TL;743496;N420;N-921;TR00000000005567650
nt421;TL;743497;N421;N-922;TR00000000005567651
nt422;TL;743498;N422;N-923;TR00000000005567652
nt423;TL;743499;N423;N-924;TR00000000005567653
nt424;TL;743500;N424;N-925;TR00000000005567654
nt425;TL;743501;N425;N-926;TR00000000005567655
nt426;TL;743502;N426;N-927;TR00000000005567656
nt427;TL;743503;N427;N-928;TR00000000005567657
nt428;TL;743504;N428;N-929;TR00000000005567658
nt429;TL;743505;N429;N-930;TR00000000005567659
nt430;TL;743506;N430;N-931;TR00000000005567660
nt431;TL;743507;N431;N-932;TR00000000005567661
nt432;TL;743508;N432;N-933;TR00000000005567662
nt433;TL;743509;N433;N-934;TR00000000005567663
nt434;TL;743510;N434;N-935;TR00000000005567664
nt435;TL;743511;N435;N-936;TR00000000005567665
nt436;TL;743512;N436;N-937;TR00000000005567666
nt437;TL;743513;N437;N-938;TR00000000005567667
nt438;TL;743514;N438;N-939;TR00000000005567668
nt439;TL;743515;N439;N-940;TR00000000005567669
nt440;TL;743516;N440;N-941;TR00000000005567670
nt441;TL;743517;N441;N-942;TR00000000005567671
nt442;TL;743518;N442;N-943;TR00000000005567672
nt443;TL;743519;N443;N-944;TR00000000005567673
nt444;TL;743520;N444;N-945;TR00000000005567674
nt445;TL;743521;N445;N-946;TR00000000005567675
nt446;TL;743522;N446;N-947;TR00000000005567676
nt447;TL;743523;N447;N-948;TR00000000005567677
nt448;TL;743524;N448;N-949;TR00000000005567678
nt449;TL;743525;N449;N-950;TR00000000005567679
nt450;TL;743526;N450;N-951;TR00000000005567680
nt451;TL;743527;N451;N-952;TR00000000005567681
nt452;TL;743528;N452;N-953;TR00000000005567682
nt453;TL;743529;N453;N-954;TR00000000005567683
nt454;TL;743530;N454;N-955;TR00000000005567684
nt455;TL;743531;N455;N-956;TR00000000005567685
nt456;TL;743532;N456;N-957;TR00000000005567686
nt457;TL;743533;N457;N-958;TR00000000005567687
nt458;TL;743534;N458;N-959;TR00000000005567688
nt459;TL;743535;N459;N-960;TR00000000005567689
nt460;TL;743536;N460;N-961;TR00000000005567690
nt461;TL;743537;N461;N-962;TR00000000005567691
nt462;TL;743538;N462;N-963;TR00000000005567692
nt463;TL;743539;N463;N-964;TR00000000005567693
nt464;TL;743540;N464;N-965;TR00000000005567694
nt465;TL;743541;N465;N-966;TR00000000005567695
nt466;TL;743542;N466;N-967;TR00000000005567696
nt467;TL;743543;N467;N-968;TR00000000005567697
nt468;TL;743544;N468;N-969;TR00000000005567698
nt469;TL;743545;N469;N-970;TR00000000005567699
nt470;TL;743546;N470;N-971;TR00000000005567700
nt471;TL;743547;N471;N-972;TR00000000005567701
nt472;TL;743548;N472;N-973;TR00000000005567702
nt473;TL;743549;N473;N-974;TR00000000005567703
nt474;TL;743550;N474;N-975;TR00000000005567704
nt475;TL;743551;N475;N-976;TR00000000005567705
nt476;TL;743552;N476;N-977;TR00000000005567706
nt477;TL;743553;N477;N-978;TR00000000005567707
nt478;TL;743554;N478;N-979;TR00000000005567708
nt479;TL;743555;N479;N-980;TR00000000005567709
nt480;TL;743556;N480;N-981;TR00000000005567710
nt481;TL;743557;N481;N-982;TR00000000005567711
nt482;TL;743558;N482;N-983;TR00000000005567712
nt483;TL;743559;N483;N-984;TR00000000005567713
nt484;TL;743560;N484;N-985;TR00000000005567714
nt485;TL;743561;N485;N-986;TR00000000005567715
nt486;TL;743562;N486;N-987;TR00000000005567716
nt487;TL;743563;N487;N-988;TR00000000005567717
nt488;TL;743564;N488;N-989;TR00000000005567718
nt489;TL;743565;N489;N-990;TR00000000005567719
nt490;TL;743566;N490;N-991;TR00000000005567720
nt491;TL;743567;N491;N-992;TR00000000005567721
nt492;TL;743568;N492;N-993;TR00000000005567722
nt493;TL;743569;N493;N-994;TR00000000005567723
nt494;TL;743570;N494;N-995;TR00000000005567724
nt495;TL;743571;N495;N-996;TR00000000005567725
nt496;TL;743572;N496;N-997;TR00000000005567726
nt497;TL;743573;N497;N-998;TR00000000005567727
nt498;TL;743574;N498;N-999;TR00000000005567728
nt499;TL;743575;N499;N-1000;TR00000000005567729
nt500;TL;743576;N500;N-1001;TR00000000005567730
nt501;TL;743577;N501;N-1002;TR00000000005567731
nt502;TL;743578;N502;N-1003;TR00000000005567732
nt503;TL;743579;N503;N-1004;TR00000000005567733
nt504;TL;743580;N504;N-1005;TR00000000005567734
nt505;TL;743581;N505;N-1006;TR00000000005567735
nt506;TL;743582;N506;N-1007;TR00000000005567736
nt507;TL;743583;N507;N-1008;TR00000000005567737
nt508;TL;743584;N508;N-1009;TR00000000005567738
nt509;TL;743585;N509;N-1010;TR00000000005567739
nt510;TL;743586;N510;N-1011;TR00000000005567740
nt511;TL;743587;N511;N-1012;TR00000000005567741
nt512;TL;743588;N512;N-1013;TR00000000005567742
nt513;TL;743589;N513;N-1014;TR00000000005567743
nt514;TL;743590;N514;N-1015;TR00000000005567744
nt515;TL;743591;N515;N-1016;TR00000000005567745
nt516;TL;743592;N516;N-1017;TR00000000005567746
nt517;TL;743593;N517;N-1018;TR00000000005567747
nt518;TL;743594;N518;N-1019;TR00000000005567748
nt519;TL;743595;N519;N-1020;TR00000000005567749
nt520;TL;743596;N520;N-1021;TR00000000005567750
nt521;TL;743597;N521;N-1022;TR00000000005567751
nt522;TL;743598;N522;N-1023;TR00000000005567752
nt523;TL;743599;N523;N-1024;TR00000000005567753
nt524;TL;743600;N524;N-1025;TR00000000005567754
nt525;TL;743601;N525;N-1026;TR00000000005567755
nt526;TL;743602;N526;N-1027;TR00000000005567756
nt527;TL;743603;N527;N-1028;TR00000000005567757
nt528;TL;743604;N528;N-1029;TR00000000005567758
nt529;TL;743605;N529;N-1030;TR00000000005567759
nt530;TL;743606;N530;N-1031;TR00000000005567760
nt531;TL;743607;N531;N-1032;TR00000000005567761
nt532;TL;743608;N532;N-1033;TR00000000005567762
nt533;TL;743609;N533;N-1034;TR00000000005567763
nt534;TL;743610;N534;N-1035;TR00000000005567764
